,entry_id,stsd,day,vid,tablockid,blk,num_trip,num_trip_inservice,start_timestamp,end_timestamp,time_driven,miles_driven,soc_used,avg_temp,avg_speed,avg_speed_driven,max_speed,acceleration_avg,acceleration_max,acceleration_min,mile_soc,energy_used,kwh_mile,accu_ascending,accu_descending,num_peaks,weight,traffic,num_driver_id,start_rm,end_rm,odo,source,start_soc,end_soc
281,282,2025-02-13,THURSDAY,2401,22,22,6,5,1739449370,1739483743,568.316,110.809,58.0,56.6818,12.9083,19.9451,50.8359,0.034359,2.56076,-1.76189,1.9105,260.092,2.34721,517.193,-524.48,155,,,1,189.549,101.041,6831.82,Clever,,
282,283,2025-02-13,THURSDAY,2407,11X,11X,19,17,1739451769,1739498918,773.617,170.629,72.0,57.3792,14.2976,20.4377,45.1853,-0.00228351,2.56283,-3.6433,2.36984,315.794,1.85077,613.633,-637.299,183,,,2,205.809,83.7188,9221.69,Clever,,
283,284,2025-02-13,THURSDAY,2406,15,15,17,15,1739453633,1739507441,879.717,150.757,58.0,57.321,10.7576,19.3269,40.4862,0.0173963,2.35976,-2.78308,2.59926,338.713,2.24674,648.56,-635.82,163,,,2,210.397,79.3448,4947.64,Clever,,
284,285,2025-02-13,THURSDAY,2405,152,152,9,7,1739456933,1739500905,732.351,147.461,69.6,57.5016,15.3601,22.4863,43.2047,0.0309755,4.60944,-1.92901,2.11869,327.181,2.21877,704.836,-714.928,186,,,2,151.389,27.0639,7082.99,Clever,,
285,286,2025-02-18,TUESDAY,2406,52,52,7,6,1739895572,1739935551,661.7,131.333,64.8,59.4196,12.6356,19.2365,44.8649,0.000249729,3.2714,-5.02559,2.02674,279.261,2.12636,688.969,-687.872,198,,,1,169.107,61.0178,5146.51,Clever,,
286,287,2025-02-18,TUESDAY,2402,152,152,5,4,1739912325,1739933027,340.3,68.5993,59.6,59.7496,13.8989,24.4705,48.4087,-0.0239192,3.04136,-5.19611,1.151,183.357,2.67286,321.396,-347.932,89,,,1,197.388,134.546,10561.9,Clever,,
287,288,2025-02-19,WEDNESDAY,2406,11X,11X,19,17,1739970166,1740018647,799.35,169.957,74.8,59.5109,14.5294,21.4392,58.8264,-0.00449587,4.24088,-2.42545,2.27216,329.404,1.93816,606.178,-642.49,194,,,2,187.581,70.6584,5279.66,Clever,,
288,289,2025-02-19,WEDNESDAY,2402,15,15,1,0,1739972034,1739972873,13.9833,0.0,0.8,52.9193,0.0,,0.0,0.0,0.0,0.0,0.0,0.155057,,0.0,0.0,0,,,1,200.177,198.575,10632.7,Clever,,
289,290,2025-02-19,WEDNESDAY,2405,21X,21X,11,10,1739994957,1740021646,454.816,95.9491,32.4,62.6643,14.2571,20.6957,51.2243,0.0338062,2.11041,-3.47838,2.96139,177.095,1.84572,334.169,-374.748,116,,,1,186.16,123.268,7433.94,Clever,,
290,291,2025-02-20,THURSDAY,2405,22,22,10,8,1740054161,1740103897,820.733,160.401,79.2,59.7072,13.0451,19.7717,57.972,-0.00284531,2.55311,-2.44404,2.02526,346.658,2.1612,823.768,-818.276,222,,,2,209.64,89.4034,7530.19,Clever,,
291,292,2025-02-20,THURSDAY,2407,52,52,10,8,1740055076,1740108524,882.45,174.093,66.8,59.8715,14.5473,20.9977,42.962,0.070379,6.19128,-4.78109,2.60618,370.623,2.12889,761.96,-789.315,183,,,2,200.797,52.6868,9579.23,Clever,,
292,293,2025-02-20,THURSDAY,2406,11X,11X,19,17,1740056578,1740105045,794.517,170.066,66.8,60.8982,13.7842,19.8455,51.7486,0.0180987,1.9876,-2.71267,2.5459,319.233,1.87711,573.104,-621.563,194,,,2,209.373,96.1754,5452.62,Clever,,
293,294,2025-02-20,THURSDAY,2401,21X,21X,20,18,1740056698,1740107627,842.517,177.933,80.4,60.9123,15.0231,22.0752,60.3895,-0.00589486,2.44946,-2.08333,2.21309,339.857,1.91003,584.589,-641.197,226,,,2,180.359,64.899,7099.28,Clever,,
294,295,2025-02-20,THURSDAY,2402,15,15,9,8,1740058718,1740085070,431.283,71.3894,42.8,58.4753,13.3222,21.7608,47.7679,-0.0134727,2.33707,-1.92901,1.66798,146.932,2.05818,306.644,-300.861,83,,,1,105.298,52.6488,10789.0,Clever,,
295,296,2025-02-21,FRIDAY,2405,22,22,10,8,1740140575,1740190294,821.032,160.544,79.2,61.6697,13.6893,21.7017,47.2436,-0.0399677,4.06126,-2.69164,2.02707,359.178,2.23726,789.892,-789.467,211,,,2,212.865,81.433,7692.8,Clever,,
296,297,2025-02-21,FRIDAY,2402,52,52,7,6,1740141047,1740178659,620.567,121.91,56.8,61.7298,14.4711,22.3571,44.6999,-0.0220127,4.95113,-2.44404,2.1463,256.49,2.10393,590.652,-588.535,165,,,2,136.267,48.6205,10865.4,Clever,,
297,298,2025-02-21,FRIDAY,2406,21X,21X,19,18,1740143451,1740191915,790.6,173.62,74.8,63.0222,15.1034,20.5321,55.7292,0.0157443,2.37881,-6.93195,2.32113,325.186,1.87297,557.269,-633.22,184,,,2,214.25,86.4202,5625.71,Clever,,
298,299,2025-02-24,MONDAY,2405,22,22,10,8,1740399767,1740449621,822.918,160.77,75.6,61.6068,12.6591,20.0496,54.4768,0.0340622,4.95063,-4.06901,2.12659,352.897,2.19504,803.994,-787.193,230,,,2,206.642,80.9698,7855.62,Clever,,
299,300,2025-02-24,MONDAY,2406,21X,21X,20,18,1740402299,1740452462,823.9,177.945,56.0,62.8085,13.869,21.6084,57.3021,-0.0235009,4.9693,-2.48618,3.17759,317.606,1.78486,546.523,-624.691,198,,,2,225.802,97.169,5808.27,Clever,,
300,301,2025-02-24,MONDAY,2402,11X,11X,19,17,1740402300,1740450462,784.133,168.876,146.4,62.945,14.1821,21.2735,60.2244,-0.0175752,2.14907,-4.46518,1.15353,313.381,1.85568,550.983,-639.021,183,,,2,183.258,80.3631,10990.2,Clever,,
301,302,2025-02-24,MONDAY,2401,13,13,17,15,1740403740,1740457416,879.05,168.239,84.0,62.1466,13.291,20.1679,51.2825,-0.0143269,2.47396,-2.64757,2.00285,384.261,2.28402,478.794,-486.497,201,,,2,183.989,55.5009,7283.52,Clever,,
302,303,2025-02-24,MONDAY,2407,15,15,17,15,1740404039,1740457549,875.0,150.254,50.8,62.2333,11.4506,18.8271,47.5349,-0.0113682,2.80841,-3.10497,2.95775,300.232,1.99817,657.392,-634.718,160,,,2,214.306,98.2237,9757.46,Clever,,
303,304,2025-02-25,TUESDAY,2405,22,22,10,8,1740486658,1740536339,819.7,160.873,74.0,60.7257,14.776,21.4634,50.9913,0.068159,2.468,-2.39324,2.17396,331.114,2.05823,819.319,-818.612,218,,,2,204.955,85.4508,8018.56,Clever,,
304,305,2025-02-25,TUESDAY,2402,11X,11X,19,17,1740488558,1740537218,808.967,170.52,72.4,62.0649,13.9068,20.5561,57.6516,0.0136254,4.51389,-2.42545,2.35524,307.496,1.80329,568.823,-635.683,182,,,2,184.481,82.0753,11164.3,Clever,,
305,306,2025-02-25,TUESDAY,2406,21X,21X,20,18,1740488700,1740538857,818.533,178.371,70.8,62.0331,14.3282,21.7063,60.273,0.0308754,2.89352,-2.48016,2.51936,362.923,2.03466,563.236,-636.267,208,,,2,212.498,53.3627,5992.33,Clever,,
306,307,2025-02-26,WEDNESDAY,2405,22,22,9,7,1740572521,1740622307,822.267,160.509,78.4,62.8171,13.2123,21.2761,54.3505,-0.0686202,2.19121,-3.96136,2.04731,357.972,2.23022,775.69,-756.97,220,,,2,207.282,74.1697,8180.97,Clever,,
307,308,2025-02-26,WEDNESDAY,2402,11X,11X,19,17,1740574960,1740623445,790.65,169.973,58.8,62.8504,13.2982,20.5628,54.5447,0.00956082,2.42054,-2.44404,2.8907,292.221,1.71922,576.979,-637.294,180,,,2,176.364,86.0137,11338.6,Clever,,
308,309,2025-02-26,WEDNESDAY,2406,21X,21X,20,18,1740575275,1740626268,830.15,177.112,77.6,62.8847,14.3281,21.717,59.0302,-0.0180155,2.52832,-5.19518,2.28238,314.513,1.77578,568.112,-627.862,213,,,2,203.86,70.5298,6176.1,Clever,,
309,310,2025-02-26,WEDNESDAY,2407,112,112,11,9,1740577615,1740633955,928.9,189.779,71.2,61.614,14.4438,21.8797,47.0494,-0.101286,3.86924,-3.75034,2.66543,376.465,1.9837,911.459,-915.273,245,,,2,215.389,70.6046,9913.98,Clever,,
310,311,2025-02-26,WEDNESDAY,2401,132,132,11,9,1740578696,1740635748,940.717,190.298,92.0,61.7724,12.9753,20.5693,49.166,-0.00454237,2.29779,-2.60417,2.06846,430.68,2.26319,960.025,-964.304,280,,,2,183.85,,7456.67,Clever,,
311,312,2025-02-27,THURSDAY,2402,11X,11X,19,17,1740661558,1740710036,790.883,169.964,70.0,69.0201,13.8151,20.8341,58.8652,0.0321728,2.17014,-2.47396,2.42805,314.899,1.85275,553.204,-613.034,187,,,2,180.701,85.3258,11512.8,Clever,,
312,313,2025-02-27,THURSDAY,2401,21X,21X,14,13,1740661794,1740697184,579.583,123.407,61.6,67.8789,15.3661,21.402,52.6029,0.00738641,2.56076,-2.87919,2.00337,234.438,1.89971,404.934,-444.521,132,,,2,121.158,38.862,7650.9,Clever,,
313,314,2025-02-27,THURSDAY,2407,112,112,8,7,1740663601,1740709119,751.4,144.121,60.8,68.0587,12.7118,21.0758,46.0397,-0.0392138,6.21449,-2.3829,2.37041,307.625,2.1345,730.628,-737.764,207,,,2,173.533,2.66973,10106.7,Clever,,
314,315,2025-02-28,FRIDAY,2402,11X,11X,19,17,1740747815,1740795585,763.2,168.64,75.6,60.7766,14.4815,20.8879,63.3313,0.0411466,3.79774,-2.34035,2.23069,322.735,1.91375,529.131,-599.62,167,,,2,156.431,45.039,11686.8,Clever,,
