,BLOCK_ID_GTFS,BLOCK_ID_USER,DAY,ROUTE_ID,ROUTE_ID_2,ROUTE_ID_3,SERVICE_ID,START_TIME,END_TIME,INSERVICE_START_TIME,INSERVICE_END_TIME,ST,ET,INSERVICE_ST,INSERVICE_ET,REVENUE_TIME,REVENUE_LENGTH,DEADHEAD_TIME,DEADHEAD_LENGTH,BREAK_TIME
286,82,82,FRIDAY,2,,,5,05:12,19:39,05:30,19:21,18720,70740,19800,69660,706,159.765,36,21.0,125
287,82,82,MONDAY,2,,,2,05:12,19:39,05:30,19:21,18720,70740,19800,69660,706,159.765,36,21.0,125
288,82,82,MONDAY,2,,,4,05:12,19:39,05:30,19:21,18720,70740,19800,69660,706,159.765,36,21.0,125
289,82,82,THURSDAY,2,,,2,05:12,19:39,05:30,19:21,18720,70740,19800,69660,706,159.765,36,21.0,125
290,82,82,THURSDAY,2,,,4,05:12,19:39,05:30,19:21,18720,70740,19800,69660,706,159.765,36,21.0,125
291,82,82,TUESDAY,2,,,1,05:12,19:39,05:30,19:21,18720,70740,19800,69660,706,159.765,36,21.0,125
292,82,82,TUESDAY,2,,,2,05:12,19:39,05:30,19:21,18720,70740,19800,69660,706,159.765,36,21.0,125
293,82,82,WEDNESDAY,2,,,2,05:12,19:39,05:30,19:21,18720,70740,19800,69660,706,159.765,36,21.0,125
294,82,82,WEDNESDAY,2,,,4,05:12,19:39,05:30,19:21,18720,70740,19800,69660,706,159.765,36,21.0,125
295,92,92,FRIDAY,2,,,2,06:22,21:16,06:40,20:58,22920,76560,24000,75480,722,167.701,36,21.0,136
296,92,92,FRIDAY,2,,,5,06:22,21:16,06:40,20:58,22920,76560,24000,75480,722,167.701,36,21.0,136
297,92,92,MONDAY,2,,,2,06:22,21:16,06:40,20:58,22920,76560,24000,75480,722,167.701,36,21.0,136
298,92,92,MONDAY,2,,,4,06:22,21:16,06:40,20:58,22920,76560,24000,75480,722,167.701,36,21.0,136
299,92,92,THURSDAY,2,,,2,06:22,21:16,06:40,20:58,22920,76560,24000,75480,722,167.701,36,21.0,136
300,92,92,THURSDAY,2,,,4,06:22,21:16,06:40,20:58,22920,76560,24000,75480,722,167.701,36,21.0,136
301,92,92,TUESDAY,2,,,1,06:22,21:16,06:40,20:58,22920,76560,24000,75480,722,167.701,36,21.0,136
302,92,92,TUESDAY,2,,,2,06:22,21:16,06:40,20:58,22920,76560,24000,75480,722,167.701,36,21.0,136
303,92,92,WEDNESDAY,2,,,2,06:22,21:16,06:40,20:58,22920,76560,24000,75480,722,167.701,36,21.0,136
304,92,92,WEDNESDAY,2,,,4,06:22,21:16,06:40,20:58,22920,76560,24000,75480,722,167.701,36,21.0,136
