,timestamp,vid,rtpidatafeed,tmstmp,lat,lon,hdg,pid,rt,des,pdist,dly,spd,tatripid,origtatripno,tablockid,zone,mode,psgld,stst,stsd,oid,or_,rid,blk,tripid,tripdyn
87,1750292684,2402,None,20250618 17:24:44,33.82472870841417,-118.309078318434,203.0,49,2,Kaiser Hospital >> Kaiser Hospital,98994.0,0,0.0,37318,37318,12,,1,N/A,57600.0,2025-06-18,125297,False,218,202,235020,0
88,1750292682,2006,None,20250618 17:24:42,33.898112,-118.223258,359.0,46,3,MLK Transit Center >> South Bay Galleria,0.0,0,7.0,37497,37497,23,,1,N/A,62460.0,2025-06-18,114240,False,223,1102,569020,0
89,1750292680,2010,None,20250618 17:24:40,33.912549,-118.291585,359.0,49,2,Kaiser Hospital >> Kaiser Hospital,49507.0,0,24.0,37320,37320,102,,1,N/A,60000.0,2025-06-18,124276,False,215,602,668020,0
90,1750292680,0845,None,20250618 17:24:40,33.94482,-118.37008,316.0,-1,U,,0.0,0,0.0,N/A,,N/A,,1,N/A,,,N/A,True,N/A,,,0
91,1750292679,R5,None,20250618 17:24:39,33.90466574,-118.30982161,82.0,-1,U,,0.0,0,0.0,N/A,,N/A,,1,N/A,,,N/A,True,N/A,,,0
92,1750292676,2320,None,20250618 17:24:36,33.89120502913621,-118.300928346346,223.0,46,3,MLK Transit Center >> South Bay Galleria,38137.0,0,11.0,37496,37496,33,,1,N/A,60720.0,2025-06-18,125177,False,226,1502,483020,0
93,1750292675,0890,None,20250618 17:24:35,33.89137,-118.29653,208.0,-1,U,,0.0,0,0.0,N/A,,N/A,,1,N/A,,,N/A,True,N/A,,,0
94,1750292674,2314,None,20250618 17:24:34,33.93090757491526,-118.30882692395691,91.0,31,2,Kaiser Hospital >> Kaiser Hospital,55410.0,0,6.0,37272,37272,92,,1,N/A,60000.0,2025-06-18,125170,False,216,3202,206020,0
95,1750292673,2319,None,20250618 17:24:33,33.869574,-118.287197,359.0,49,2,Kaiser Hospital >> Kaiser Hospital,31582.0,0,0.0,37321,37321,52,,1,N/A,61200.0,2025-06-18,114875,False,217,2502,389020,0
96,1750292639,2312,None,20250618 17:23:59,33.789366666666666,-118.29739999999998,0.0,31,2,Kaiser Hospital >> Kaiser Hospital,122304.0,0,0.0,37269,37269,82,,1,N/A,56400.0,2025-06-18,125175,True,211,3102,323020,0
97,1750292639,2010,None,20250618 17:23:59,33.91124170205771,-118.29159939973887,359.0,49,2,Kaiser Hospital >> Kaiser Hospital,49089.0,0,24.0,37320,37320,102,,1,N/A,60000.0,2025-06-18,124276,False,215,602,668020,0
